Team,Year,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20
DET,2021,Year/Year,,0.1%,-1.7%,-0.2%,-.007,-3.6%,0.7%,-.016,-0.9%,-0.7%,-.001,6.8%,4.5%,+.016,-1.2%,3.5%,2.4%,0.6%,-0.7%,13.7%,-2.2%,4.2%,-0.6%
DET,2021,Opponent,72,17430,2980,6260,.476,817,2260,.362,2163,4000,.541,1221,1607,.760,717,2475,3192,1785,578,419,1004,1469,7998
DET,2021,Opponent/G,,242.1,41.4,86.9,.476,11.3,31.4,.362,30.0,55.6,.541,17.0,22.3,.760,10.0,34.4,44.3,24.8,8.0,5.8,13.9,20.4,111.1
DET,2021,Lg Rank,,6,16,11,26,2,1,10,26,24,24,15,19,3,19,16,17,15,23,28,15,5,10
DET,2021,Year/Year,,0.1%,-1.3%,-0.4%,-.004,6.2%,6.1%,+.000,-3.9%,-3.8%,-.000,4.4%,6.8%,-.018,-1.6%,2.9%,1.9%,0.7%,-2.4%,4.1%,-0.3%,2.9%,0.3%
GSW,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
GSW,2021,Team,72,17305,2973,6347,.468,1048,2789,.376,1925,3558,.541,1193,1520,.785,574,2524,3098,1991,587,342,1080,1526,8187
GSW,2021,Team/G,,240.3,41.3,88.2,.468,14.6,38.7,.376,26.7,49.4,.541,16.6,21.1,.785,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7
GSW,2021,Lg Rank,,24,15,17,14,3,5,9,24,25,11,16,21,13,30,12,22,1,6,17,26,28,12
GSW,2021,Year/Year,,-0.7%,6.9%,-0.0%,+.030,39.5%,23.9%,+.042,-5.1%,-13.1%,+.046,-11.3%,-9.2%,-.019,-19.9%,6.6%,0.4%,8.1%,-0.8%,3.3%,0.6%,5.6%,6.9%
GSW,2021,Opponent,72,17305,2897,6408,.452,891,2481,.359,2006,3927,.511,1426,1834,.778,769,2635,3404,1711,567,312,1083,1406,8111
GSW,2021,Opponent/G,,240.3,40.2,89.0,.452,12.4,34.5,.359,27.9,54.5,.511,19.8,25.5,.778,10.7,36.6,47.3,23.8,7.9,4.3,15.0,19.5,112.7
GSW,2021,Lg Rank,,24,10,17,3,12,16,8,11,20,4,28,30,14,29,26,27,7,22,6,6,11,18
GSW,2021,Year/Year,,-0.7%,-4.7%,0.4%,-.024,-8.5%,-0.9%,-.030,-2.8%,1.3%,-.022,15.7%,16.4%,-.005,5.0%,0.8%,1.8%,-9.0%,-4.5%,-12.3%,-3.8%,-3.0%,-2.1%
HOU,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
HOU,2021,Team,72,17305,2826,6372,.444,992,2923,.339,1834,3449,.532,1189,1606,.740,671,2396,3067,1699,546,361,1060,1407,7833
HOU,2021,Team/G,,240.3,39.3,88.5,.444,13.8,40.6,.339,25.5,47.9,.532,16.5,22.3,.740,9.3,33.3,42.6,23.6,7.6,5.0,14.7,19.5,108.8
HOU,2021,Lg Rank,,24,25,15,28,9,3,28,28,28,15,17,10,27,23,24,27,24,14,14,23,21,24
HOU,2021,Year/Year,,-0.4%,-3.7%,-2.1%,-.007,-11.9%,-10.4%,-.006,1.3%,6.1%,-.025,-19.9%,-14.4%,-.051,-4.7%,-3.5%,-3.8%,9.1%,-12.9%,-2.7%,0.3%,-10.2%,-7.7%
HOU,2021,Opponent,72,17305,3075,6411,.480,966,2532,.382,2109,3879,.544,1286,1642,.783,713,2713,3426,1855,611,378,1055,1388,8402
HOU,2021,Opponent/G,,240.3,42.7,89.0,.480,13.4,35.2,.382,29.3,53.9,.544,17.9,22.8,.783,9.9,37.7,47.6,25.8,8.5,5.3,14.7,19.3,116.7
HOU,2021,Lg Rank,,24,25,18,27,23,19,27,19,12,25,23,24,21,18,30,30,21,27,21,11,14,27
HOU,2021,Year/Year,,-0.4%,1.0%,-2.7%,+.018,9.8%,0.4%,+.033,-2.6%,-4.6%,+.011,-1.0%,-3.8%,+.022,-11.2%,2.6%,-0.6%,2.0%,5.7%,6.8%,-9.3%,-8.4%,1.6%
IND,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
IND,2021,Team,72,17455,3115,6567,.474,889,2445,.364,2226,4122,.540,1183,1493,.792,648,2424,3072,1973,611,460,975,1453,8302
IND,2021,Team/G,,242.4,43.3,91.2,.474,12.3,34.0,.364,30.9,57.3,.540,16.4,20.7,.792,9.0,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3
IND,2021,Lg Rank,,4,3,3,11,18,18,17,5,6,12,20,26,9,26,21,26,2,5,1,13,22,6
IND,2021,Year/Year,,0.4%,2.7%,3.1%,-.002,21.3%,21.2%,+.000,-3.2%,-5.3%,+.011,9.4%,8.7%,+.006,3.3%,-1.3%,-0.3%,6.0%,14.1%,24.0%,2.2%,2.0%,5.4%
IND,2021,Opponent,72,17455,3076,6576,.468,828,2265,.366,2248,4311,.521,1325,1695,.782,813,2555,3368,1877,535,381,1066,1306,8305
IND,2021,Opponent/G,,242.4,42.7,91.3,.468,11.5,31.5,.366,31.2,59.9,.521,18.4,23.5,.782,11.3,35.5,46.8,26.1,7.4,5.3,14.8,18.1,115.3
IND,2021,Lg Rank,,4,26,26,16,4,2,16,30,30,7,25,26,19,30,21,25,28,11,23,8,26,25
IND,2021,Year/Year,,0.4%,8.2%,3.2%,+.021,0.3%,-6.5%,+.025,11.4%,9.2%,+.010,8.1%,9.0%,-.006,8.9%,1.8%,3.4%,12.9%,7.6%,15.3%,0.9%,-3.6%,7.3%
LAC,2021,,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LAC,2021,Team,72,17280,3009,6242,.482,1027,2498,.411,1982,3744,.529,1164,1387,.839,678,2501,3179,1756,509,295,950,1383,8209
LAC,2021,Team/G,,240.0,41.8,86.7,.482,14.3,34.7,.411,27.5,52.0,.529,16.2,19.3,.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114.0
LAC,2021,Lg Rank,,30,12,25,5,6,14,1,19,21,18,24,28,1,21,14,17,17,20,29,7,17,10
LAC,2021,Year/Year,,-0.6%,0.6%,-2.8%,+.016,14.7%,3.7%,+.040,-5.5%,-6.7%,+.007,-22.3%,-26.8%,+.048,-11.6%,-6.1%,-7.3%,2.8%,-0.4%,-12.7%,-9.6%,-13.2%,-2.0%
LAC,2021,Opponent,72,17280,2887,6223,.464,833,2341,.356,2054,3882,.529,1157,1489,.777,659,2307,2966,1650,510,304,925,1303,7764
LAC,2021,Opponent/G,,240.0,40.1,86.4,.464,11.6,32.5,.356,28.5,53.9,.529,16.1,20.7,.777,9.2,32.0,41.2,22.9,7.1,4.2,12.8,18.1,107.8
LAC,2021,Lg Rank,,30,9,7,13,6,7,6,15,14,14,10,9,13,5,1,1,3,7,5,22,27,4
LAC,2021,Year/Year,,-0.6%,1.4%,-4.2%,+.026,-6.0%,-8.8%,+.011,4.8%,-1.2%,+.030,-13.3%,-15.7%,+.021,-14.5%,-7.4%,-9.1%,-3.5%,-5.6%,-10.1%,-8.7%,-20.9%,-1.9%
